TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Eagles,32.8,131,279,1822,6.5,120,21,42,50,11,17,64.7,40,356,27:45,-4
Giants,23,115,316,1571,5,89,26,72,36.1,9,12,75,44,372,30:54,1
Seahawks,30.5,122,242,1477,6.1,88,27,51,52.9,10,14,71.4,39,334,30:20,0
Patriots,22.8,91,266,1470,5.5,89,35,61,57.4,8,13,61.5,33,242,31:34,3
Redskins,22,88,260,1467,5.6,91,21,46,45.7,8,17,47.1,32,295,34:41,-4
Ravens,26.2,105,282,1453,5.2,87,26,59,44.1,5,14,35.7,32,256,36:35,2
Packers,25.5,102,280,1451,5.2,93,23,56,41.1,8,14,57.1,38,347,31:25,1
Bills,12.6,63,332,1422,4.3,92,22,67,32.8,6,15,40,39,282,28:37,-5
Titans,17.8,71,236,1395,5.9,80,21,46,45.7,6,8,75,30,324,29:43,-8
Broncos,24.8,99,247,1387,5.6,80,30,54,55.6,8,15,53.3,36,283,31:50,3
Rams,19.2,77,268,1341,5,80,26,64,40.6,6,11,54.5,50,379,34:46,5
Raiders,23.8,95,259,1336,5.2,79,22,54,40.7,8,11,72.7,38,295,28:18,-4
Vikings,22.2,89,248,1334,5.4,82,20,51,39.2,6,15,40,26,249,32:55,5
Bengals,27.5,110,258,1330,5.2,74,20,54,37,6,9,66.7,40,360,30:10,2
Saints,23.2,93,248,1320,5.3,78,20,49,40.8,7,13,53.8,43,377,27:27,6
Falcons,16,64,248,1311,5.3,73,22,58,37.9,3,9,33.3,39,370,30:30,0
Dolphins,17.2,69,259,1301,5,72,21,57,36.8,7,11,63.6,36,277,30:46,-4
Jets,17.2,69,255,1283,5,75,20,55,36.4,7,11,63.6,37,316,31:19,2
Jaguars,15.2,61,257,1276,5,73,15,53,28.3,3,11,27.3,42,370,29:32,4
Bears,18.2,73,242,1260,5.2,80,25,54,46.3,5,11,45.5,40,312,31:33,0
Lions,18.8,75,243,1253,5.2,84,18,50,36,4,12,33.3,41,305,32:03,4
Chargers,15,60,249,1234,5,73,22,56,39.3,5,13,38.5,27,230,31:26,-1
Chiefs,20.8,83,234,1200,5.1,70,22,55,40,4,11,36.4,36,327,30:44,-4
Browns,20.5,82,249,1191,4.8,78,19,53,35.8,5,10,50,35,253,28:54,2
Panthers,15.8,63,235,1165,5,77,22,52,42.3,7,9,77.8,27,177,30:48,-3
Cardinals,20.5,82,242,1123,4.6,70,22,57,38.6,7,13,53.8,34,248,31:43,0
49ers,16,64,246,1095,4.5,70,17,50,34,5,11,45.5,28,204,29:11,-3
Cowboys,15,60,236,1087,4.6,70,20,51,39.2,3,6,50,38,274,29:54,1
Colts,15,60,264,1060,4,75,20,61,32.8,4,10,40,27,196,30:37,-4
Steelers,14,56,217,999,4.6,57,17,53,32.1,2,6,33.3,31,252,28:34,3
Texans,15.8,63,218,944,4.3,57,11,45,24.4,3,5,60,36,336,26:50,0
Buccaneers,15.2,61,233,887,3.8,60,14,52,26.9,4,6,66.7,24,217,30:12,0
