TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Bears,17.7,283,339,1280,3.8,5,67,29:42
Saints,22.1,353,356,1284,3.6,12,72,29:34
Texans,19.8,316,385,1323,3.4,8,76,30:22
Ravens,17.9,287,354,1327,3.7,11,82,28:15
Cowboys,20.2,324,400,1513,3.8,12,89,29:29
Steelers,22.5,360,369,1538,4.2,13,84,30:37
Eagles,21.8,348,332,1551,4.7,14,71,28:29
Colts,21.5,344,415,1626,3.9,12,87,31:33
Chargers,20.6,329,395,1693,4.3,11,101,29:17
Lions,22.5,360,403,1761,4.4,11,88,29:36
Patriots,20.3,325,367,1803,4.9,7,93,29:55
Panthers,23.9,382,384,1804,4.7,13,110,29:16
Seahawks,21.7,347,366,1811,4.9,9,91,29:57
49ers,27.2,435,444,1814,4.1,13,104,31:31
Vikings,21.3,341,440,1815,4.1,13,107,31:03
Bills,23.4,374,440,1839,4.2,17,111,30:31
Redskins,22.4,359,413,1860,4.5,12,109,30:22
Titans,18.9,303,429,1863,4.3,9,98,31:51
Jaguars,19.8,316,434,1870,4.3,16,89,30:46
Giants,25.8,412,444,1898,4.3,19,103,32:30
Broncos,21.8,349,429,1913,4.5,11,85,31:02
Packers,25,400,446,1918,4.3,15,100,31:48
Rams,24,384,386,1957,5.1,12,101,29:18
Buccaneers,29,464,426,1983,4.7,19,122,30:01
Falcons,26.4,423,409,1999,4.9,16,115,31:51
Jets,27.6,441,440,2021,4.6,17,104,31:03
Chiefs,26.3,421,425,2114,5,19,129,31:20
Browns,24.5,392,459,2163,4.7,20,130,33:48
Bengals,28.4,455,466,2204,4.7,17,125,33:33
Raiders,29.2,467,480,2249,4.7,16,108,30:32
Dolphins,27.1,433,485,2325,4.8,17,116,33:31
Cardinals,26.6,425,510,2479,4.9,25,139,33:27
