TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Colts,27.1,1718,4.2,67,16.4,18,2.7,78,11.8
Saints,31.5,2025,4.3,62,13.2,20,3.7,53,9.8
Patriots,27.2,2037,4.3,55,11.5,21,3.5,70,11.8
Steelers,26.8,1445,4.2,64,18.6,24,3.4,70,9.8
Chiefs,35.3,1855,4.8,65,16.8,26,4.3,109,17.9
Ravens,24.3,2441,4.5,64,11.7,32,5.4,69,11.7
Panthers,23.5,2136,5.1,70,16.8,32,5.4,80,13.4
Bears,26.3,1938,4.1,84,17.9,33,6.1,65,11.9
Rams,32.9,2231,4.9,82,17.9,33,5.5,74,12.3
Broncos,20.6,1907,4.9,74,18.8,34,5.5,95,15.3
Chargers,26.8,1873,4.7,75,18.8,34,6.2,92,16.8
Bengals,23,1682,4.7,92,25.6,37,6.4,74,12.8
Jets,20.8,1622,4,96,23.4,37,6.6,77,13.7
Browns,22.4,1893,4.6,95,23.1,38,6.2,74,12.1
Vikings,22.5,1493,4.2,91,25.5,40,6.2,98,15.2
Eagles,22.9,1570,3.9,92,23.1,40,6.3,102,16
Bills,16.8,1984,4.2,96,20.5,41,7.6,104,19.3
Lions,20.2,1660,4.1,97,24,41,6.7,85,13.8
Buccaneers,24.8,1523,3.9,82,21.1,41,6.2,113,17
Falcons,25.9,1573,4.5,106,30.2,42,6.4,111,16.8
Redskins,17.6,1774,4.3,107,25.8,44,8,99,17.9
Giants,23.1,1650,4.7,110,31.1,47,7.5,100,15.9
Titans,19.4,2023,4.5,107,23.6,47,9.7,72,14.9
49ers,21.4,1902,4.5,107,25.3,48,8.3,127,21.9
Seahawks,26.8,2560,4.8,93,17.4,51,10.7,99,20.7
Cardinals,14.1,1342,3.8,101,28.5,52,9.5,111,20.3
Dolphins,19.9,1738,4.7,99,26.7,52,10.3,106,20.9
Raiders,18.1,1628,4.2,94,24.3,52,8.6,95,15.6
Packers,23.5,1667,5,89,26.7,53,7.6,107,15.4
Jaguars,15.3,1723,4.1,94,22.6,53,9,116,19.7
Cowboys,21.2,1964,4.5,104,23.7,56,9.6,113,19.4
Texans,25.1,2021,4.3,119,25.2,62,10.9,137,24.1
